Unique_Question_ID,Category,Question,Answer,Difficulty level,MaxMarks,Answer_2,Answer_3
0,SVM,How does SVM map non-linear boundaries?,By using the kernel trick,1,5,Using the kernel function,Through the kernel method
1,SVM,What are the different kernels that you know in SVM,Linear Polynomial Sigmoid RBF,1,5,"Radial basis function, euclidean, gaussian",
2,SVM,What is C in SVM?,A model hyperparameter which is the regularisation parameter for the error term,1,5,Inverse of lambda in logistic regression,regularisation co-efficient for the misclassification term
3,SVM,What would happen when you use a very low value for C in SVM?,More misclassification would happen,1,5,More points would be wrongly classified,More observations will be misclassified
4,SVM,Is SVM a supervised or unsupervised machine learning algorithm?,Supervised,1,5,,
5,SVM,Does the margin need to be maximum or minimum?,Maximum,1,5,Max,
6,SVM,Can SVM be used for outlier detection?,Yes,2,10,,
7,SVM,Does soft margin allow misclassifications,Yes,2,10,,
8,SVM,Do we need to scale the features in SVM?,Yes,2,10,,
9,SVM,Do outliers affect the SVMmodel?,No,2,10,,
10,SVM,What do you mean by a hard margin in SVM?,There are no misclassifications,2,10,No sample is wrongly classified,
11,SVM,What is a hyperplane in SVM,It is the decision boundary in a multidimensional space to separate different classes,2,10,A decision boundary to seperate different classes,A plane supported by the support vectors
12,SVM,What are the two types of loss in SVM?,Hinge and quadratic loss,2,10,Hinge and quadratic,"Quadratic loss, hinge loss"
13,SVM,If you train an SVM classifier with an RBF kernel. It seems to underfit the training dataset: should you increase or decrease the hyper-parameter γ (gamma)?,Increase the gamma or C hyper-parameter.,2,10,Increase gamma and C,The gamma and C should be more
14,SVM,Is SVM a deterministic or non-deterministic algorithm?,Deterministic,2,10,,
15,SVM,Does increasing C overfit or underfit the SVM model?,It overfits the model,2,10,Overfit,Overfits the model
16,SVM,How to identify support vectors?,Lagrange multipliers will be greater than zero,3,15,Alpha will be positive,
17,SVM,What happens if we increase hyperparameter gamma in SVM?,Overfitting,3,15,Overfit,
18,SVM,Is Standardization better or normalization?,Standardization,3,15,,
19,SVM,What modification do you need to do in probability hyperparameter to use SVM in ensemble techniques using sklearn?,We have to set probability=True,3,15,probability=True,Set probabilty equal to true
20,SVM,"What term(s) is/are added to the objective function(using quadratic loss), due to soft margin?",The error term for misclassifications and the constraint term for the misclassifications,3,15,,
21,Naive Bayes,What is the assumption in Naive Bayes,The features are independent.,1,5,The features do not depend on each other,The variables are independent
22,Naive Bayes,What mathematical theorem is behind Naive Bayes,Bayes theorem,1,5,Bayes rule,
23,Naive Bayes,Is Naive Bayes supervised or unsupervised?,Supervised,1,5,,
24,Naive Bayes,Name a branch of machine learning where Naive Bayes performs very well,Text analytics and Natural Language processing tasks,1,5,NLP and text,Text analytics
25,Naive Bayes,Can Naive Bayes be used as a base estimator in ensemble techniques?,Yes,1,5,,
26,Naive Bayes,When do you use GaussianNB as opposed to BernoulliNB?,If the distribution of features is gaussian,2,10,When the distribution of the variables are normal,When the attributes are normally distributed
27,Naive Bayes,When do you use Laplace smoothing?,When the model encounters previously unseen data,2,10,When attribute value is not present for an observation,When a variable has a value not trained in model
28,Naive Bayes,What is alpha in Naive Bayes,Alpha is the smoothing parameter,2,10,Variable for laplace smoothing,additive smoothing parameter
29,Naive Bayes,Why is Naive Bayes naive?,It makes the naive assumption that the features are independent,2,10,It assumes that the variables are independent,It works under the assumption that the attributes do not depend upon each other
30,Naive Bayes,Is Naive Bayes deterministic or non-deterministic?,Deterministic,2,10,,
31,Naive Bayes,What is the default value of laplace smoothing in BernoulliNB,1,3,15,one,
32,Naive Bayes,"Can we use Naive Bayes for regression tasks? If yes, how does it perform?",Yes we can use it but it will perform very poorly,3,15,Yes but works very bad,Yes runs worse
33,Linear Regression,What is assumption of multicolinearity in linear regression ?,There is no correlation between  independent variables or predictors.,1,5,Independent variables or predictors are  uncorrelated with each other,The pearson correlation between any two independent variables or predictors is zero or close to zero.
34,Linear Regression,What is assumption of Independence in linear regression ?,They are independent of each other.,1,5,They are collected in such a manner that they are independent of each other,Each Observation is independent of every other observation
35,Linear Regression,What should be the mean of errors in Linear Regression ?,0,1,5,Zero,
36,Linear Regression,Between a higher and a lower value of AIC which is preferable,lower,1,5,lower one,lower value is preferred
37,Linear Regression,Which performance metric is used as cost function in Linear Regression ?,Mean Square Error,1,5,MSE,Average of square of errors.
38,Linear Regression,What is the difference between cost function of LASSO and Ridge Regression ?,LASSO uses L1 regularization which is sum of absolute value of parameters or coefficients while Ridge uses L2 regularization which is sum of square of parameters or coefficients.,1,5,In LASSO cost function is sum of mean square error  and sum of absolute value of parameters. In Ridge cost fucntion is sum of mean square error and sum of square of parameters or coefficients.,LASSO penalizes the coefficients more strictly as compared to RIDGE.
39,Linear Regression,Which regularization technique can be used for feature selection in Multiple Linear Regression ?,LASSO,1,5,L1,Least Absolute Shrinkage and Selection Operator
40,Linear Regression,Why shouldn't we use Linear Regression as a base estimator in Ensemble Techniques ?,Because it is a High Bias algorithm.,1,5,Because it is high bias and low variance algorithm.,Because it is an stable algorithm as it has low variance.
41,Linear Regression,"Is it suggested to use Linear Regression for time series data, Yes/ No ?",No,1,5,,
42,Linear Regression,If estimator value is large for a predictor then model will be more sensitive or less sensitive wrt to that predictor?,More sensitive,1,5,,
43,Linear Regression,Residual plot is plotted between with variables ?,Residuals and fitted Value,1,5,Errors and Fitted Values,Residual And Predicted Values
44,Linear Regression,Can the model be further improved if there is a pattern seen in residual plot. Yes/No?,Yes,1,5,,
45,Linear Regression,With the addition of new predictor variable will R square increase or decrease or remain same?,Increase,1,5,,
46,Linear Regression,With the addition of new predictor variable will Adjusted R square increase or decrease or remain same?,It may increase or decrease or remain same.,1,5,Depending upon whether the penalty incurred / applied to model due to addition of new predictor is more or less as compared to variance explained by the predictor it may increase or decrease.,If explainability of model increases significantly due to addition then it will increase otherwise decrease.
47,Linear Regression,Is linear regression deterministic or non-deterministic?,Deterministic,1,5,,
48,Linear Regression,What are different methods of Linear Regression?,"Ordinary Least Square, Gradient Descent Algorithm, Ridge Regression, LASSO Regression",2,10,"OLS, Gradient descent, Ridge and lasso regression","Normal equation, SGD, OLS"
49,Linear Regression,What is assumption of linearity in linear regression ?,There is linear relationship between Independent and dependent variables.,2,10,There is linear relationship between target variable and predictor variable,There is linear relationship between response variable and predictor variable
50,Linear Regression,What is assumption of Homoskedasticity in linear regression ?,The variance of error terms are similar across the values of the dependent variables,2,10,The error terms shoud have constant variance.,The variance of errors should not be varying across the values of dependent variable that is no heteroscedasticity.
51,Linear Regression,What is assumption of Normality in linear regression ?,Residuals in fitted model are normally distributed,2,10,Residuals are normally distributed.,The probability distribution of residuals follows normal distribution.
52,Linear Regression,Name two test used for checking  Homoskedasticity  ?,Breusch Pagan test and NCV test,2,10,Breusch Pagan test and Non-Constant Error Variance test,
53,Linear Regression,Name two test used for checking  Normality assumption in Linear Regression?,Omnibus Test and Jarque Bera Test,2,10,,
54,Linear Regression,What is Durbin Watson Test ?,It is test of autocorrelation in errors.,2,10,It is a measure of autocorrelation in residuals from regression analysis.,Autocorrelation test.
55,Linear Regression,What is the use of Shapiro Wilk test in Linear regression ?,It is test to check if the probability distribution function of  response / target variable follows normal distribution or not.,2,10,It is used to check if target / response variable is normally distributed.,It is used to test normality in target  / response variable.
56,Linear Regression,Name two methods to remove multicollinearity in a normally distributed data ?,"Principal Component Analysis, Dropping one of the variable from the pairs highly correlated variable.",2,10,"PCA, Dropping variables using Variance Inflation Factor value.","PCA, dropping variable using VIF values"
57,Linear Regression,What is the range of Durbin Watson Statistic ?,0 to 4,2,10,zero to four,
58,Linear Regression,What is best value of Durbin watson ?,2,2,10,Two,
59,Linear Regression,Can Adjusted R_square be negative ? [YES / NO],Yes,2,10,,
60,Linear Regression,If there are N rows and M columns observation what is degree of freedom of SST ?,n - one,2,10,n-1,n minus one
61,Linear Regression,If there are N rows and M columns observation what is degree of freedom of SSE ?,n minus m,2,10,n-m,
62,Linear Regression,If there are N rows and M columns observation what is degree of freedom of SSR ?,m minus one,2,10,m-1,m - one
63,Linear Regression,Name 2 methods of scaling the features ?,"Min Max Scalar, Standard Scalar",2,10,"substracting minimum value and dividing by maximum value, substracting mean or average value and dividing by standard deviation.",
64,Linear Regression,If current value of learning rate is 0.1 and model is diverging then will you increase the learning rate or decrease it?,Increase,2,10,,
65,Linear Regression,Name 6 hyperparameters of Ridge Regression implemented in sklearn library,"Learning Rate, alpha, fit_intercept, normalize, max_iter,solver",2,10,,
66,Linear Regression,"If 2000 is value of an estimator, 100 is standard error associated with it and z = 1.96 for 95% confidence level then ,what is the IQR range in which value of estimator will fall if model is trained on different samples of data ?",1084 to 2196,2,10,"Lower limit 1084, Upper Limit 2196",
67,Linear Regression,What does BLUE property of estimators stands for ?,"Unbiasedness, Constant Variance, Linearity",2,10,Coefficients are unbiased. They have constant variance. They are linear.,
68,Linear Regression,What do you mean by Efficiency of estimators ?,Coefficients are unbiased and have constant variance,2,10,When Unbiased and constant variance property of coefficients are fulfilled together then coefficients are said to be efficient.,
69,Linear Regression,If R_square is low is it possible that Linear regression model is still a good model. Yes/No?,Yes,2,10,,
70,Linear Regression,Name  3 approaches of building a multiple linear regression model using OLS method.,"Forward addition, Backward Elimination, Mixed Approach",2,10,,
71,Linear Regression,Name 3 use of linear regression model?,"Association / Trend Analysis, Prediction, Interpolation.",2,10,"To find association / Trend between dependent and independent variable, prediction of for new data points, interpolation",
72,Linear Regression,Is Y = 2 + 3*X1 + 4*X2^2 linear regression or not?,Yes,3,15,,
73,Linear Regression,In Linear Regression linearity is wrt to what?,Linearity with respect to coefficients,3,15,Coefficients of the predictors are themselves linear.,
74,Linear Regression,If there is multi colinearity between predictor variables than what will happen to VIF values for each predictor ?,It will get very large.,3,15,It will be very high.,
75,Linear Regression,R_squared in Bi-variate regression is same as square of pearson correlation between X and Y. True or False ?,TRUE,3,15,,
76,Linear Regression,Can R_square be negative ?,Yes,3,15,,
77,Linear Regression,"Is it possible that we can have Very large value of F-statistics, high R_square and Adjusted R_square but none of the predictors is significant i.e. p-value of predictors are insignificant ? If yes what causes this situation ?",Yes. It is due to multicolinearity between predictors,3,15,Yes. This condition occurs when predictors are highly correlated with each other.,
78,Linear Regression,What is the name of optimization technique for LASSO regression ?,Co-ordinate Descent algorithm,3,15,,
79,Linear Regression,Name 7 performance metrics used for Linear Regression ?,"R square, Adjusted R Square, Mean Absolute Error, Mean Square Error, Root Mean Square Error, Mean Absolute Precentage Error, Root mean square logarithmic error.",3,15,,
80,Linear Regression,Name 7 different solvers implemented in sklearn ridge regression?,"auto, svd, cholesky, lsqr, sparse_cg, sag, saga",3,15,,
81,Linear Regression,Name the  five Gauss Markov assumptions?,"Linearity, Random, Non-Collinearity, Exogeneity, Homoscedasticity",3,15,,
82,Linear Regression,"Name the principle which says ""For addition of every new predictor penalize the model performance."" ",Principle of Parsimony,3,15,,
83,Logistic Regression,Is logistic regression Linear or Non linear classifier ?,It is a Linear Classifier.,1,5,,
84,Logistic Regression,Which function is used in logistic regression for mapping probabilities to full range real numbers (-inf to +inf)?,Logit Function,1,5,,
85,Logistic Regression,Which function is used in logistic regression converting real numbers to probabilities?,Sigmoid Function,1,5,,
86,Logistic Regression,Is logistic regression supervised or unsupervised algorithm ?,Supervised  algorithm,1,5,,
87,Logistic Regression,Is logistic regression used for regression. TRUE/ FALSE ?,FALSE,1,5,,
88,Logistic Regression,Can we use logistic regression for multiclass classification. YES / NO?,YES,1,5,,
89,Logistic Regression,Ratio of True Positive to Actual positive is called ?,Recall or sensitivity,1,5,,
90,Logistic Regression,Ratio of True Positive to Predicted positive is called ?,Precision,1,5,,
91,Logistic Regression,harmonic mean of Recall and precision is called ?,F1 score,1,5,,
92,Logistic Regression,Ratio of true Negative to actual negative is called ?,Specificity,1,5,,
93,Logistic Regression,With the increase in sensitivity the Specificity will increase or decrease or remain same?,Decrease,1,5,,
94,Logistic Regression,If True Positive Rate increase then False positive Rate will increase or decrease?,Increase,1,5,,
95,Logistic Regression,Is Logistic Regression deterministic or non-deterministic,Deterministic,1,5,,
96,Logistic Regression,Do the residuals need to be normally distributed like linear regression?,No,1,5,,
97,Logistic Regression,Do we maximize or minimize the logit function?,Maximize,1,5,,
98,Logistic Regression,Name two methods used for multiclass classification in LOGISTIC REGRESSION,"One Vs All, Using Softmax fucntion",2,10,,
99,Logistic Regression,Name the method  used to best fit the data in Logistic Regression,Maximum Likelihood Estimation,2,10,,
100,Logistic Regression,Errors in logistic regression follows which probability distribution ?,Binomial Distribution,2,10,,
101,Logistic Regression, Is logistic regression a generative or a descriptive classifier?,descriptive ,2,10,,
102,Logistic Regression,Dependent variable in logistic regression follows which probability distribution ?,Binomial Distribution,2,10,,
103,Logistic Regression,The maximum difference between TPR and FPR is called ?,KS statistics.,2,10,,
104,Logistic Regression,Lower the KS statistics indicate better the model. TRUE or FALSE ?,FALSE,2,10,,
105,Logistic Regression,How will you get the threshold in logistic regression?,From the ROC AUC curve,2,10,,
106,Logistic Regression,Is logistic regression affected by multicollinearity?,Yes,2,10,,
107,Logistic Regression,Is it possible to design a logistic regression algorithm using a Neural Network Algorithm. YES / NO?,YES,3,15,,
108,Logistic Regression,Model with higher AIC value id better Model. True or False?,FALSE,3,15,,
109,Logistic Regression,If we use mean square error in Logistic Regression then resultant cost fucntion will be convex or non convex?,Non Convex,3,15,,
110,Logistic Regression,Name 5 solvers implemented in sklearn library for logistic regression ?,"newton-cg , lbfgs , liblinear , sag , saga",3,15,,
111,Logistic Regression,Name 3 different types of logistic regression.,"Binary Logistic regression, Multinomial Logistic regression, Ordinal Logistic regression",3,15,,
112,Logistic Regression,Which statistical test is used to determine goodness of fit of logistic regression ?,Hosmer-Lemeshow Test,3,15,,
113,Logistic Regression,Name two alternative of R square in Logistic regression ?,"McFadden’s R square, The Cox and Snell R square",3,15,,
